Unnamed: 0,addr,latitude,longitude
339,성동구 금호동4가 28-1,37.5448564,127.0206462
340,성동구 마장동 803- ,37.5698354,127.0441409
341,성동구 마장동 780-1,37.5661246,127.0457962
342,성동구 행당동 142-14,37.5588055,127.0356445
343,성동구 사근동 103-1,37.55403560000001,127.0477242
344,성동구 행당동 81-4,37.5535973,127.04195020000002
345,성동구 행당동 346-2,37.5547101,127.0271042
346,성동구 용답동 27-1,37.5601563,127.0540369
347,성동구 응봉동 3-10,37.5501364,127.034554
348,광진구 중곡동 176-111,37.568067600000006,127.0898281
349,광진구 중곡동 100-16,37.5568324,127.0920797
350,광진구 광장동 5-117,37.5520082,127.101489
351,강서구 마곡동 224-7,37.5726951,126.82541270000002
352,강서구 외발산동 423-2,37.5509987,126.8148776
353,강서구 내발산동 648-3,37.55779879999999,126.8424281
354,강서구 방화동 645-6,37.5662484,126.8060579
355,강서구 염창동 252-15,37.54977589999999,126.8755585
356,강서구 염창동 263-8,37.5491045,126.8759961
357,강서구 염창동 274-18,37.5511247,126.8656529
358,강서구 화곡동 931-11,37.527216,126.8428238
359,강서구 화곡동 1065-9,37.54147570000001,126.8390524
360,강서구 화곡동 785-2,37.5300156,126.8630902
361,구로구 온수동 35-3,37.490964700000006,126.8267163
362,구로구 온수동 9-12,37.4929263,126.8240206
363,강서구 내발산동 701-7,37.5517439,126.8359025
364,강서구 염창동 283-4,37.5473227,126.8773841
365,동대문구 답십리동 3-39,37.5729833,127.0649462
366,동대문구 신설동 92-67,37.5716604,127.0253706
367,동대문구 용두동 36-2,37.5736528,127.0377421
368,동대문구 용두동 40-9,37.5758128,127.0377086
369,동대문구 용두동 729-2,37.58139110000001,127.02804840000002
370,동대문구 장안동 164-2,37.5699608,127.06488190000002
371,동대문구 장안동 387-1,37.57225379999999,127.06886409999998
372,동대문구 신설동 92-62,37.576398,127.0271781
373,동대문구 장안동 430-8,37.5641765,127.0659761
374,동대문구 장안동 466-11,37.5613841,127.0684541
375,동대문구 전농동 26-5,37.5756403,127.05738429999998
376,동대문구 전농동 295-478,37.5771036,127.0564862
377,서초구 방배동 13-6,37.4948833,126.9902746
378,서초구 방배동 936-12,37.4871532,126.9935526
379,서초구 방배동 475-17,37.4781624,126.9877969
380,서초구 방배동 2833- ,37.466826,126.9879745
381,양천구 신월동 987- ,37.519748,126.8349156
382,양천구 신정동 115-71,37.5142426,126.8457851
383,양천구 신정동 62-14,37.5106794,126.8571163
384,양천구 신월동 977- ,37.5211154,126.8365344
385,양천구 신월동 936- ,37.5222037,126.83098400000002
386,양천구 신정동 74-15,37.5100911,126.8706024
387,강서구 공항동 687-15,37.5557343,126.81214409999998
388,강서구 화곡동 47-16,37.5451975,126.8511959
389,강서구 화곡동 24-138,37.54554260000001,126.8463139
390,동대문구 장안동 415-15,37.5622254,127.0616526
391,서초구 방배동 945-7,37.48578060000001,126.9882214
392,강서구 염창동 281-3,37.5482869,126.8743771
393,강서구 방화동 620-283,37.56255460000001,126.8085899
394,강서구 방화동 612-52,37.5636793,126.8084268
395,강서구 등촌동 690-5,37.559786,126.8420414
396,강서구 등촌동 706- ,37.5585898,126.8500371
397,강서구 화곡동 60-1,37.5504013,126.8435735
398,노원구 중계동 25-1,37.6411318,127.0838237
399,노원구 중계동 26-20,37.6403876,127.0842277
400,노원구 월계동 320- ,37.6350005,127.0590943
401,노원구 상계동 1-2,37.6875938,127.0702456
402,노원구 중계동 28- ,37.662583700000006,127.0832742
403,은평구 녹번동 158-1,37.603998,126.9237022
404,은평구 응암동 85-41,37.6016532,126.9236065
405,은평구 불광동 1-13,37.623126,126.9360221
406,은평구 불광동 444-1,37.6253391,126.9262584
407,노원구 상계동 790-1,37.65287070000001,127.05488
408,은평구 갈현동 416-3,37.6251607,126.9186069
409,은평구 갈현동 513-1,37.6173231,126.9133169
410,은평구 대조동 212- ,37.6154404,126.9199412
411,은평구 응암동 613- ,37.5904823,126.9239636
412,은평구 응암동 120-22,37.5954005,126.9173801
